name_a,name_b
"A.M. Leonard, Inc.",A.M. Leonard Inc.
Algonquin Acquisition Company LLC,"Algonquin Acquisition Co, LLC"
"Aramsco, Inc.",Aramsco Inc
Arielle Enterprise LLC,Arielle Enterprise
Artisan's Asylum Inc.,Artisan's Asylum
"Arts for Learning Massachusetts, Inc.",Arts for Learning Massachusetts
"bANTON, Diane","Banton, Diane"
Boston Chinatown Neighborhood Center Inc,Boston Chinatown Neighborhood Center
"Brand Company, Inc",Brand Company
Cafe Juiceup,CAFE JUICEUP
chica project,Chica Project
Chinatown Main Street,"Chinatown Main Street, Inc."
Flynt Nicole N,"Flynt, Nicole N"
Friends of Memorial Hall,"Friends of Memorial Hall, Inc."
James G Grant Co inc,James G. Grant Co. Inc.
Joachim Maxime,"Joachim, Maxime"
Language Connections,Language Connections Inc
Lozada Jennifer Y,"Lozada, Jennifer Y"
Massachusetts Reading Association,Massachusetts Reading Association Inc
NSTAR Electric Gas,NSTAR Electric & Gas
Pixworx LLC,PIXWORX LLC
Performance Plumbing & Heating Inc,Performance Plumbing & Heating Inc.
Peterson Charles T,"Peterson, Charles T"
Plaza Deli,Plaza Deli Inc.
Rapport International,"Rapport International, LLC"
"Renaissance Learning Inc, ",Renaissance Learning Inc.
"SIDE, Presents",SIDE Presents
"Todisco Services, Inc",TODISCO SERVICES INC.
Turf Products,Turf Products LLC
United Construction & Forestry,United Construction & Forestry LLC
United Rentals,"United Rentals, Inc."
Urciuoli Dolores L,"Urciuoli, Dolores L"
Voehl Kristen,"Voehl, Kristen"
"white, kyle","White, Kyle"
YMCA of Greater Boston,YMCA Of Greater Boston
"John F. Kennedy Family Srvs. Center, Inc",John F. Kennedy Family Service Center
National Community Development Associati,National Community Development Assoc
OFF DUTY MANAGMENT,Off Duty Management
"S.G. Harold Plumbing, Heating & AC, LLC",S G Harold Plumbing & Heating
"Standard Electric, (a Div. of USESI)",Standard Electric (a Division of USESI)
"Tremblay, Gregory F.","Tremblay, Gregory"
